,size,filename,nodes_before_prune,edges_before_prune,time_before_prune,nodes_after_prune,edges_after_prune,time_after_prune
0,20,3.BIFXML,20,102,1.289329908999207,20,90,0.6781895630047075
1,20,1.BIFXML,20,89,0.8263804669986712,18,53,0.2436284289942705
2,20,9.BIFXML,20,93,0.9658783779959776,20,73,0.5970853849939886
3,20,5.BIFXML,20,88,0.8536174250039039,19,57,0.3714524419992813
4,20,7.BIFXML,20,81,0.5807399149998673,18,48,0.23769795800035354
5,20,2.BIFXML,20,90,0.6317887469995185,18,66,0.2806962390022818
6,20,0.BIFXML,20,92,1.155019441001059,18,56,0.2671078409985057
7,20,8.BIFXML,20,94,0.8875810129975434,18,61,0.27464918400073657
8,20,4.BIFXML,20,87,0.657768318997114,18,56,0.2723069950006902
9,20,6.BIFXML,20,92,0.7624894269974902,20,82,0.6988481029984541
10,18,3.BIFXML,18,78,0.7619090909938677,17,59,0.3584736639968469
11,18,1.BIFXML,18,75,0.42815109599905554,18,66,0.3537954530038405
12,18,9.BIFXML,18,79,0.40177659800247056,17,60,0.2772396229993319
13,18,5.BIFXML,18,76,0.41855090700119035,18,65,0.35782840700267116
14,18,7.BIFXML,18,69,0.3963586320023751,10,12,0.06623799799854169
15,18,2.BIFXML,18,82,0.47791992699785624,18,65,0.3512777939977241
16,18,0.BIFXML,18,72,0.39810904300247785,12,23,0.09708199400483863
17,18,8.BIFXML,18,85,0.5370362859976012,17,57,0.26675819299998693
18,18,4.BIFXML,18,60,0.3808617940012482,18,50,0.3202437979998649
19,18,6.BIFXML,18,71,0.691544547000376,18,59,0.44057142700330587
20,27,3.BIFXML,27,168,45.982001749995106,21,71,0.7111140990018612
21,27,1.BIFXML,27,175,33.172446443997615,25,110,6.875053610994655
22,27,9.BIFXML,27,183,45.288690050001605,27,169,43.50435799600382
23,27,5.BIFXML,27,163,31.406745469997986,23,103,1.985582463996252
24,27,7.BIFXML,27,172,38.308041420001246,18,62,0.28634643399709603
25,27,2.BIFXML,27,172,32.122458789999655,25,112,6.729904968997289
26,27,0.BIFXML,27,172,33.73407964299986,24,121,4.44062272800511
27,27,8.BIFXML,27,177,38.40164320999611,26,137,16.301437386006
28,27,4.BIFXML,27,167,35.852634531998774,26,102,14.37874694600032
29,27,6.BIFXML,27,182,37.91570321600011,27,150,32.998045245003595
30,9,3.BIFXML,9,24,0.07385357600287534,5,6,0.025762843994016293
31,9,1.BIFXML,9,18,0.06227356199815404,7,11,0.040914000004704576
32,9,9.BIFXML,9,19,0.0675816449947888,6,6,0.03385694500320824
33,9,5.BIFXML,9,20,0.06803947399748722,8,18,0.05159005899622571
34,9,7.BIFXML,9,20,0.06759157399937976,4,1,0.020802856000955217
35,9,2.BIFXML,9,10,0.06649808599468088,4,2,0.019452558997727465
36,9,0.BIFXML,9,17,0.06773002200498013,5,5,0.024741115004871972
37,9,8.BIFXML,9,18,0.06426970000029542,7,11,0.04272991900506895
38,9,4.BIFXML,9,23,0.06720361200132174,7,13,0.042038458996103145
39,9,6.BIFXML,9,18,0.06298057999811135,5,5,0.025185124002746306
40,11,3.BIFXML,11,26,0.08837569499883102,8,13,0.047883283004921395
41,11,1.BIFXML,11,28,0.0883920050036977,7,6,0.04150618499988923
