,size,filename,nodes_before_prune,edges_before_prune,time_before_prune,nodes_after_prune,edges_after_prune,time_after_prune
0,20,3.BIFXML,20,102,1.264791128996876,16,50,0.16814047799562104
1,20,1.BIFXML,20,89,0.8159442399919499,18,58,0.28257876000134274
2,20,9.BIFXML,20,93,0.938340936001623,19,67,0.4101010839949595
3,20,5.BIFXML,20,88,0.8375204150070203,18,56,0.25818283199623693
4,20,7.BIFXML,20,81,0.5670154449908296,18,47,0.25536676100455225
5,20,2.BIFXML,20,90,0.6217923259973759,18,52,0.2471466310089454
6,20,0.BIFXML,20,92,1.0762011399929179,20,80,0.6681313610024517
7,20,8.BIFXML,20,94,0.7333785790106049,20,74,0.6115060800075298
8,20,4.BIFXML,20,87,0.6513003659929382,19,67,0.3953224080032669
9,20,6.BIFXML,20,92,0.6741683969885344,17,51,0.24764369799231645
10,18,3.BIFXML,18,78,0.43650447399704717,17,66,0.2796780180069618
11,18,1.BIFXML,18,75,0.4025163589976728,18,70,0.36617636399751063
12,18,9.BIFXML,18,79,0.40298802699544467,16,57,0.2194014300039271
13,18,5.BIFXML,18,76,0.39419406799424905,18,59,0.376723427005345
14,18,7.BIFXML,18,69,0.3488321909972001,16,48,0.17935095600842033
15,18,2.BIFXML,18,82,0.5134982739982661,14,43,0.2045589230110636
16,18,0.BIFXML,18,72,0.43389309900521766,17,62,0.30186689499532804
17,18,8.BIFXML,18,85,0.541286804000265,16,53,0.5062237509991974
18,18,4.BIFXML,18,60,0.6141019330098061,18,51,0.4107180819992209
19,18,6.BIFXML,18,71,0.8652958829916315,18,55,0.7125986629980616
20,27,3.BIFXML,27,168,54.36330886899668,26,127,21.507532778996392
21,27,1.BIFXML,27,175,43.01667581500078,25,129,8.579960075003328
22,27,9.BIFXML,27,183,40.3223686870042,26,144,18.586520876997383
23,27,5.BIFXML,27,163,35.04402310999285,26,121,14.910179476006306
24,27,7.BIFXML,27,172,41.522853099988424,27,143,36.797293208001065
25,27,2.BIFXML,27,172,34.36137743499421,22,83,1.0533824280137196
26,27,0.BIFXML,27,172,41.76566920201003,27,155,38.1567280790041
27,27,8.BIFXML,27,177,37.98417504699319,26,138,15.639060165005503
28,27,4.BIFXML,27,167,35.3545512619894,27,123,30.91620899499685
29,27,6.BIFXML,27,182,38.03386681700067,26,132,16.312619903997984
30,9,3.BIFXML,9,24,0.07008220700663514,7,14,0.04444347700336948
31,9,1.BIFXML,9,18,0.06121843300934415,6,9,0.033356447995174676
32,9,9.BIFXML,9,19,0.0667392600007588,5,6,0.026461796995135956
33,9,5.BIFXML,9,20,0.07247772799746599,5,4,0.03501100301218685
34,9,7.BIFXML,9,20,0.08422641998913605,8,13,0.05557830100588035
35,9,2.BIFXML,9,10,0.0724911450088257,5,2,0.031050711011630483
36,9,0.BIFXML,9,17,0.07415534699975979,7,10,0.0469045619975077
37,9,8.BIFXML,9,18,0.07358975100214593,9,18,0.071090710000135
38,9,4.BIFXML,9,23,0.06810490900534205,8,18,0.057959341997047886
39,9,6.BIFXML,9,18,0.07048388599650934,6,10,0.038628993002930656
40,11,3.BIFXML,11,26,0.09190199499425944,9,15,0.0684963899984723
41,11,1.BIFXML,11,28,0.09380020599928685,11,22,0.08059140799741726
42,11,9.BIFXML,11,25,0.08834750500682276,9,11,0.056777294012135826
43,11,5.BIFXML,11,32,0.0977092709945282,8,19,0.052212788999895565
44,11,7.BIFXML,11,27,0.08520716399652883,9,17,0.0962463900068542
45,11,2.BIFXML,11,21,0.10639043898845557,8,10,0.04952399499597959
46,11,0.BIFXML,11,30,0.11124225100502372,11,24,0.07947088099899702
47,11,8.BIFXML,11,25,0.08009247700101696,11,17,0.0910506299987901
48,11,4.BIFXML,11,33,0.1452021939912811,11,29,0.16693116999522317
49,11,6.BIFXML,11,25,0.11045353399822488,11,22,0.10311567400640342
50,7,3.BIFXML,7,12,0.050328288998571225,7,8,0.04875934500887524
51,7,1.BIFXML,7,13,0.05254197299655061,5,6,0.02835987400612794
52,7,9.BIFXML,7,13,0.06136427100864239,6,12,0.036830046999966726
53,7,5.BIFXML,7,6,0.044781249001971446,5,4,0.026781546999700367
54,7,7.BIFXML,7,9,0.0911179219983751,5,3,0.043321024990291335
55,7,2.BIFXML,7,13,0.05654386700189207,7,11,0.0445730880019255
56,7,0.BIFXML,7,9,0.05654071399476379,5,4,0.030656877992441878
57,7,8.BIFXML,7,11,0.05875519600522239,6,8,0.03619948300183751
58,7,4.BIFXML,7,11,0.04865494300611317,4,2,0.019943968000006862
59,7,6.BIFXML,7,8,0.04314632200112101,5,4,0.027181893005035818
60,29,3.BIFXML,29,194,170.05807490299048,24,97,3.4331377650087234
61,29,1.BIFXML,29,205,155.25535407999996,26,140,15.080235337998602
62,29,9.BIFXML,29,217,145.8625486670062,29,190,157.1441177749948
63,29,5.BIFXML,29,196,169.14225122598873,27,138,36.042684084997745
64,29,7.BIFXML,29,187,156.76171351299854,27,117,28.39158552500885
65,29,2.BIFXML,29,204,168.3484663029958,29,173,177.58071048899728
66,29,0.BIFXML,29,201,200.57978059000743,28,160,91.38391131600656
67,29,8.BIFXML,29,203,169.40916384400043,26,127,14.482520302000921
68,29,4.BIFXML,29,210,171.38732029900711,27,148,31.010874751998927
69,29,6.BIFXML,29,191,171.66201095099677,24,104,3.701273372003925
70,16,3.BIFXML,16,69,0.30047563699190505,16,56,0.2573951110098278
71,16,1.BIFXML,16,64,0.2782941149926046,15,43,0.16599854300147854
72,16,9.BIFXML,16,63,0.29293377700378187,14,33,0.134068309009308
73,16,5.BIFXML,16,66,0.21500662100152113,16,48,0.19650189000822138
74,16,7.BIFXML,16,60,0.22742577499593608,16,53,0.20477220400061924
75,16,2.BIFXML,16,61,0.22088357800384983,15,41,0.17155189398908988
76,16,0.BIFXML,16,57,0.26024409499950707,16,48,0.18876417000137735
